create_Time,ticker,count
1/1/2019,SQ,1
1/2/2019,AAPL,4
1/2/2019,AMD,1
1/2/2019,TSLA,1
1/3/2019,AAPL,3
1/3/2019,INTC,1
1/3/2019,PPT,1
1/3/2019,SNAP,1
1/4/2019,TSLA,1
1/6/2019,SQ,2
1/6/2019,NVDA,2
1/6/2019,BAC,2
1/6/2019,BUD,1
1/6/2019,AAPL,1
1/6/2019,AVGO,1
1/6/2019,BMY,1
1/6/2019,CAR,1
1/6/2019,CZR,1
1/6/2019,EA,1
1/6/2019,PYPL,1
1/6/2019,SPOT,1
1/8/2019,AAPL,1
1/8/2019,GM,1
1/8/2019,MU,1
1/8/2019,RTX,1
1/8/2019,UBS,1
1/9/2019,AMD,2
1/9/2019,TSLA,1
1/9/2019,TLRY,1
1/10/2019,SNAP,1
1/11/2019,AMZN,1
1/11/2019,AMD,1
1/12/2019,NYC,1
1/13/2019,TSLA,2
1/13/2019,PG,1
1/14/2019,CGC,2
1/14/2019,MCD,1
1/15/2019,MCD,1
1/15/2019,MU,1
1/15/2019,TSLA,1
1/17/2019,NFLX,1
1/17/2019,PM,1
1/17/2019,T,1
1/18/2019,AMZN,3
1/18/2019,TW,1
1/19/2019,PCG,1
1/20/2019,TELL,1
1/20/2019,TSLA,1
1/21/2019,DCF,1
1/22/2019,GE,1
1/23/2019,IBM,4
1/23/2019,SBUX,2
1/23/2019,AM,1
1/23/2019,ASML,1
1/23/2019,BMO,1
1/23/2019,JNJ,1
1/23/2019,RBC,1
1/23/2019,TD,1
1/23/2019,TSLA,1
1/23/2019,UBS,1
1/24/2019,PCG,3
1/24/2019,PG,2
1/24/2019,SNAP,1
1/25/2019,CGC,1
1/25/2019,IHS,1
1/25/2019,MARK,1
1/25/2019,PCG,1
1/27/2019,T,2
1/27/2019,AMD,2
1/27/2019,AKA,1
1/27/2019,CMSA,1
1/27/2019,GOOGL,1
1/27/2019,IP,1
1/28/2019,NVDA,3
1/28/2019,AAPL,2
1/28/2019,LULU,2
1/28/2019,ATVI,1
1/29/2019,PCG,7
1/29/2019,AMD,2
1/29/2019,AAPL,2
1/30/2019,AAPL,1
1/30/2019,AMD,1
1/30/2019,COST,1
1/30/2019,HR,1
1/30/2019,MSFT,1
1/30/2019,TSLA,1
1/31/2019,AMZN,2
1/31/2019,ADP,1
2/1/2019,GOOG,1
2/1/2019,TSLA,1
2/2/2019,TSLA,2
2/2/2019,AMD,2
2/4/2019,CRON,1
2/4/2019,GOOG,1
2/5/2019,SNAP,2
2/5/2019,V,1
2/5/2019,EA,1
2/6/2019,AAPL,3
2/6/2019,UNM,2
2/6/2019,XOM,2
2/6/2019,NTR,2
2/6/2019,SLB,2
2/6/2019,HR,2
2/6/2019,FTI,2
2/6/2019,SNAP,2
2/6/2019,NVDA,2
2/6/2019,MMM,2
2/6/2019,FLR,2
2/6/2019,FL,2
2/6/2019,ARNC,2
2/6/2019,UAL,2
2/6/2019,AMZN,2
2/6/2019,TSLA,1
2/6/2019,VRTX,1
2/6/2019,TTWO,1
2/6/2019,TM,1
2/6/2019,SWKS,1
2/6/2019,FOXA,1
2/6/2019,BY,1
2/6/2019,CB,1
2/6/2019,CMI,1
2/6/2019,CPRI,1
2/6/2019,CTSH,1
2/6/2019,DIS,1
2/6/2019,DLR,1
2/6/2019,EA,1
2/6/2019,ETSY,1
2/6/2019,GM,1
2/6/2019,ALL,1
2/6/2019,GPRO,1
2/6/2019,HUM,1
2/6/2019,JKHY,1
2/6/2019,LBTYA,1
2/6/2019,LLY,1
2/6/2019,MCHP,1
2/6/2019,NYT,1
2/6/2019,REGN,1
2/6/2019,SPOT,1
2/6/2019,BSX,1
2/7/2019,EA,1
2/8/2019,BB,2
2/8/2019,EA,2
2/8/2019,LLY,1
2/8/2019,PPT,1
2/9/2019,MU,1
2/10/2019,CME,2
2/10/2019,TSLA,1
2/10/2019,AMZN,1
2/10/2019,DIS,1
2/10/2019,EA,1
2/10/2019,TGT,1
2/11/2019,ACB,1
2/11/2019,C,1
2/11/2019,EA,1
2/12/2019,CRON,1
2/13/2019,AMD,1
2/13/2019,RAM,1
2/13/2019,SLDB,1
2/13/2019,SO,1
2/14/2019,RICK,1
2/14/2019,PDT,1
2/14/2019,NVDA,1
2/14/2019,FUV,1
2/14/2019,GOOS,1
2/16/2019,MU,1
2/17/2019,KO,1
2/19/2019,PCG,11
2/19/2019,AAPL,1
2/19/2019,AMZN,1
2/19/2019,MCD,1
2/19/2019,SB,1
2/20/2019,NKE,1
2/21/2019,ALL,1
2/22/2019,HD,1
2/23/2019,KHC,1
2/23/2019,TSLA,1
2/25/2019,GE,1
2/25/2019,LULU,1
2/27/2019,NIO,1
2/27/2019,TSLA,1
2/28/2019,TSLA,2
3/2/2019,TSLA,1
3/3/2019,TSLA,3
3/5/2019,ACB,1
3/5/2019,TSLA,1
3/6/2019,NIO,1
3/6/2019,TSLA,1
3/7/2019,TSLA,2
3/7/2019,T,2
3/7/2019,ME,1
3/7/2019,SNAP,1
3/9/2019,HE,1
3/9/2019,TGTX,1
3/9/2019,TRUE,1
3/10/2019,MAX,2
3/10/2019,BA,2
3/11/2019,BA,3
3/12/2019,BBW,1
3/12/2019,MCD,1
3/13/2019,BA,3
3/14/2019,ADBE,1
3/14/2019,BA,1
3/15/2019,SHOP,1
3/16/2019,SNAP,1
3/17/2019,TSLA,1
3/18/2019,TSLA,2
3/18/2019,JPM,1
3/20/2019,RARE,1
3/20/2019,MU,1
3/20/2019,PCG,1
3/22/2019,AMD,5
3/22/2019,PM,1
3/23/2019,AAPL,2
3/23/2019,RSI,2
3/23/2019,BC,1
3/23/2019,DO,1
3/23/2019,DTE,1
3/23/2019,LEG,1
3/23/2019,LEN,1
3/23/2019,MIT,1
3/23/2019,MU,1
3/23/2019,RBC,1
3/23/2019,RY,1
3/24/2019,FREE,1
3/25/2019,GE,1
3/25/2019,SNAP,1
3/25/2019,AAPL,1
3/27/2019,BA,2
3/27/2019,CGC,1
3/28/2019,LULU,2
4/1/2019,PM,1
4/1/2019,RBOT,1
4/2/2019,AMZN,1
4/2/2019,GME,1
4/2/2019,IEX,1
4/2/2019,LYFT,1
4/3/2019,TSLA,2
4/3/2019,SHOP,1
4/4/2019,TSLA,3
4/4/2019,TUSK,1
4/5/2019,AAPL,1
4/5/2019,DELL,1
4/6/2019,TSLA,1
4/7/2019,TOPS,2
4/7/2019,AAPL,1
4/7/2019,ACB,1
4/7/2019,BA,1
4/7/2019,BAC,1
4/7/2019,BBBY,1
4/7/2019,DAL,1
4/7/2019,GME,1
4/7/2019,PDT,1
4/7/2019,SNAP,1
4/7/2019,RSI,1
4/7/2019,YOU,1
4/8/2019,TSLA,1
4/9/2019,LYFT,1
4/9/2019,SNAP,1
4/10/2019,LYFT,2
4/10/2019,MU,2
4/10/2019,BA,1
4/10/2019,BBBY,1
4/10/2019,DAL,1
4/11/2019,BBBY,1
4/11/2019,TSLA,1
4/12/2019,TSLA,1
4/14/2019,BA,1
4/14/2019,AAPL,1
4/14/2019,BAC,1
4/14/2019,BBBY,1
4/14/2019,DAL,1
4/14/2019,EA,1
4/14/2019,IE,1
4/14/2019,NFLX,1
4/14/2019,RSI,1
4/14/2019,SNAP,1
4/15/2019,CGC,1
4/16/2019,NFLX,2
4/16/2019,UBER,1
4/16/2019,BAC,1
4/18/2019,DIS,1
4/19/2019,AAPL,1
4/20/2019,MP,1
4/20/2019,NM,1
4/20/2019,UBER,1
4/20/2019,BA,1
4/22/2019,TSLA,2
4/22/2019,KMB,1
4/22/2019,MU,1
4/22/2019,V,1
4/22/2019,WHR,1
4/23/2019,BA,1
4/24/2019,TSLA,2
4/24/2019,MSFT,1
4/24/2019,SNAP,1
4/25/2019,AMZN,6
4/25/2019,MU,1
4/25/2019,NFLX,1
4/25/2019,PM,1
4/26/2019,DIS,1
4/26/2019,TSLA,1
4/27/2019,DIS,5
4/27/2019,IP,2
4/27/2019,AMD,1
4/27/2019,BAM,1
4/28/2019,DIS,7
4/28/2019,MSFT,3
4/28/2019,EA,2
4/28/2019,AAPL,1
4/28/2019,ALK,1
4/28/2019,AMD,1
4/28/2019,ANY,1
4/28/2019,INTC,1
4/28/2019,LOVE,1
4/28/2019,NVDA,1
4/28/2019,OR,1
4/28/2019,XOM,1
4/28/2019,ORCL,1
4/28/2019,OXY,1
4/28/2019,RSI,1
4/28/2019,SJW,1
4/28/2019,SPOT,1
4/28/2019,SQ,1
4/28/2019,TSLA,1
4/28/2019,UNH,1
4/28/2019,VZ,1
4/29/2019,DIS,3
4/29/2019,GOOGL,3
4/29/2019,CVS,1
4/29/2019,JPM,1
4/30/2019,DIS,3
4/30/2019,SQ,3
4/30/2019,AAPL,2
4/30/2019,ALL,1
4/30/2019,AMD,1
4/30/2019,CC,1
4/30/2019,OR,1
4/30/2019,OUT,1
5/1/2019,AMD,1
5/1/2019,DIS,1
5/2/2019,TSLA,1
5/2/2019,DIS,1
5/3/2019,AAPL,1
5/4/2019,DIS,1
5/4/2019,NVDA,1
5/5/2019,EVER,1
5/6/2019,AMD,5
5/6/2019,VERY,2
5/6/2019,NVDA,2
5/6/2019,ALK,2
5/6/2019,IT,1
5/6/2019,AAPL,1
5/6/2019,AKA,1
5/6/2019,ALL,1
5/6/2019,AMZN,1
5/6/2019,BABA,1
5/6/2019,DIS,1
5/6/2019,EA,1
5/6/2019,GOOD,1
5/6/2019,MSFT,1
5/6/2019,ORCL,1
5/6/2019,OXY,1
5/6/2019,PM,1
5/6/2019,RSI,1
5/6/2019,SPOT,1
5/6/2019,WEN,1
5/6/2019,XOM,1
5/7/2019,TSLA,3
5/7/2019,BYND,1
5/7/2019,SNAP,1
5/8/2019,EA,2
5/8/2019,LYFT,2
5/8/2019,BEAT,1
5/9/2019,TSLA,1
5/9/2019,DIS,1
5/10/2019,GILD,2
5/10/2019,MAX,2
5/10/2019,CAN,1
5/10/2019,CCI,1
5/10/2019,REAL,1
5/10/2019,TSLA,1
5/10/2019,UBER,1
5/10/2019,ACA,1
5/13/2019,MU,1
5/14/2019,ALL,1
5/14/2019,DIS,1
5/14/2019,FAT,1
5/15/2019,BYND,1
