,tickers,Time of Creation,count
2,AA,2020-03-11,1
14,AA,2020-04-08,1
0,AA,2020-07-14,4
3,AA,2020-12-13,1
4,AA,2021-01-28,1
5,AA,2021-02-02,1
6,AA,2021-05-09,1
1,AA,2021-06-03,3
7,AA,2021-12-07,1
8,AA,2022-01-10,1
9,AA,2022-02-10,1
10,AA,2022-02-18,1
11,AA,2022-03-02,1
12,AA,2022-05-18,1
13,AA,2022-06-11,1
43,AAL,2020-03-02,1
21,AAL,2020-03-05,3
44,AAL,2020-03-08,1
45,AAL,2020-03-13,1
46,AAL,2020-03-15,1
17,AAL,2020-03-16,6
47,AAL,2020-03-18,1
20,AAL,2020-03-19,3
48,AAL,2020-03-29,1
49,AAL,2020-04-09,1
50,AAL,2020-05-03,1
42,AAL,2020-05-13,1
18,AAL,2020-05-14,5
41,AAL,2020-05-16,1
22,AAL,2020-06-04,3
27,AAL,2020-06-06,2
15,AAL,2020-06-10,9
26,AAL,2020-06-21,2
28,AAL,2020-06-25,1
40,AAL,2020-06-26,1
29,AAL,2020-07-14,1
30,AAL,2020-08-05,1
25,AAL,2020-08-10,2
31,AAL,2020-09-18,1
32,AAL,2020-12-04,1
19,AAL,2021-01-28,3
33,AAL,2021-01-29,1
34,AAL,2021-02-20,1
16,AAL,2021-02-24,8
24,AAL,2021-03-29,3
23,AAL,2021-03-30,3
35,AAL,2021-04-30,1
36,AAL,2021-05-07,1
37,AAL,2021-07-21,1
38,AAL,2021-08-23,1
39,AAL,2021-10-31,1
61,AAPL,2019-01-02,4
73,AAPL,2019-01-03,3
219,AAPL,2019-01-06,1
220,AAPL,2019-01-08,1
86,AAPL,2019-01-28,2
85,AAPL,2019-01-29,2
221,AAPL,2019-01-30,1
84,AAPL,2019-02-06,2
222,AAPL,2019-02-19,1
83,AAPL,2019-03-23,2
223,AAPL,2019-03-25,1
224,AAPL,2019-04-05,1
225,AAPL,2019-04-07,1
226,AAPL,2019-04-14,1
228,AAPL,2019-04-19,1
227,AAPL,2019-04-28,1
82,AAPL,2019-04-30,2
229,AAPL,2019-05-03,1
253,AAPL,2019-05-06,1
255,AAPL,2019-06-04,1
256,AAPL,2019-06-05,1
257,AAPL,2019-06-13,1
258,AAPL,2019-06-28,1
259,AAPL,2019-06-30,1
260,AAPL,2019-07-28,1
261,AAPL,2019-07-30,1
262,AAPL,2019-08-05,1
263,AAPL,2019-08-16,1
264,AAPL,2019-08-20,1
96,AAPL,2019-08-22,2
265,AAPL,2019-08-28,1
95,AAPL,2019-09-01,2
94,AAPL,2019-09-10,2
62,AAPL,2019-09-26,4
266,AAPL,2019-10-02,1
267,AAPL,2019-10-07,1
268,AAPL,2019-10-12,1
269,AAPL,2019-10-15,1
270,AAPL,2019-10-21,1
271,AAPL,2019-10-25,1
272,AAPL,2019-10-27,1
273,AAPL,2019-11-04,1
254,AAPL,2019-11-05,1
252,AAPL,2019-11-07,1
231,AAPL,2019-11-08,1
251,AAPL,2019-11-18,1
232,AAPL,2019-11-19,1
233,AAPL,2019-12-05,1
234,AAPL,2019-12-16,1
74,AAPL,2019-12-17,3
235,AAPL,2020-01-11,1
236,AAPL,2020-01-14,1
237,AAPL,2020-01-20,1
93,AAPL,2020-01-24,2
238,AAPL,2020-01-25,1
92,AAPL,2020-01-26,2
91,AAPL,2020-01-28,2
239,AAPL,2020-01-31,1
240,AAPL,2020-02-10,1
241,AAPL,2020-02-18,1
242,AAPL,2020-02-19,1
243,AAPL,2020-03-06,1
244,AAPL,2020-03-16,1
245,AAPL,2020-03-20,1
90,AAPL,2020-03-23,2
89,AAPL,2020-03-25,2
246,AAPL,2020-03-31,1
247,AAPL,2020-04-05,1
88,AAPL,2020-04-13,2
97,AAPL,2020-04-17,2
87,AAPL,2020-04-30,2
248,AAPL,2020-05-15,1
52,AAPL,2020-05-27,9
249,AAPL,2020-06-02,1
250,AAPL,2020-06-10,1
118,AAPL,2020-07-15,2
230,AAPL,2020-07-31,1
218,AAPL,2020-08-04,1
117,AAPL,2020-08-10,2
217,AAPL,2020-08-15,1
116,AAPL,2020-08-17,2
115,AAPL,2020-08-19,2
56,AAPL,2020-08-20,5
114,AAPL,2020-08-21,2
53,AAPL,2020-08-22,8
216,AAPL,2020-08-25,1
72,AAPL,2020-08-27,3
152,AAPL,2020-08-28,1
63,AAPL,2020-08-29,4
153,AAPL,2020-08-30,1
154,AAPL,2020-09-01,1
113,AAPL,2020-09-03,2
155,AAPL,2020-09-05,1
70,AAPL,2020-09-07,3
156,AAPL,2020-09-09,1
157,AAPL,2020-09-10,1
112,AAPL,2020-09-15,2
158,AAPL,2020-09-16,1
159,AAPL,2020-09-17,1
123,AAPL,2020-09-18,2
160,AAPL,2020-09-20,1
64,AAPL,2020-09-26,4
161,AAPL,2020-09-27,1
55,AAPL,2020-09-28,5
69,AAPL,2020-10-10,3
127,AAPL,2020-10-11,2
162,AAPL,2020-10-12,1
60,AAPL,2020-10-13,4
126,AAPL,2020-10-14,2
125,AAPL,2020-10-15,2
163,AAPL,2020-10-16,1
164,AAPL,2020-10-18,1
124,AAPL,2020-10-21,2
165,AAPL,2020-11-02,1
57,AAPL,2020-11-27,5
122,AAPL,2020-11-30,2
166,AAPL,2020-12-01,1
167,AAPL,2020-12-05,1
121,AAPL,2020-12-15,2
67,AAPL,2020-12-16,3
120,AAPL,2020-12-19,2
168,AAPL,2020-12-23,1
169,AAPL,2020-12-24,1
119,AAPL,2020-12-25,2
170,AAPL,2020-12-29,1
111,AAPL,2021-01-01,2
103,AAPL,2021-01-06,2
102,AAPL,2021-01-08,2
59,AAPL,2021-01-09,4
151,AAPL,2021-01-11,1
68,AAPL,2021-01-12,3
101,AAPL,2021-01-13,2
150,AAPL,2021-01-23,1
149,AAPL,2021-01-29,1
58,AAPL,2021-01-30,4
148,AAPL,2021-01-31,1
129,AAPL,2021-02-01,1
71,AAPL,2021-02-03,3
130,AAPL,2021-02-04,1
131,AAPL,2021-02-11,1
132,AAPL,2021-02-14,1
133,AAPL,2021-02-21,1
54,AAPL,2021-02-22,7
134,AAPL,2021-02-27,1
135,AAPL,2021-03-02,1
100,AAPL,2021-03-09,2
136,AAPL,2021-03-13,1
99,AAPL,2021-03-30,2
137,AAPL,2021-04-08,1
128,AAPL,2021-04-18,1
138,AAPL,2021-04-19,1
110,AAPL,2021-04-20,2
139,AAPL,2021-04-24,1
140,AAPL,2021-04-27,1
141,AAPL,2021-04-28,1
142,AAPL,2021-04-29,1
143,AAPL,2021-04-30,1
144,AAPL,2021-05-01,1
145,AAPL,2021-05-03,1
109,AAPL,2021-05-06,2
108,AAPL,2021-05-07,2
146,AAPL,2021-05-09,1
147,AAPL,2021-05-10,1
171,AAPL,2021-05-27,1
107,AAPL,2021-07-04,2
172,AAPL,2021-07-05,1
173,AAPL,2021-07-07,1
195,AAPL,2021-07-09,1
106,AAPL,2021-07-14,2
197,AAPL,2021-07-17,1
198,AAPL,2021-07-23,1
199,AAPL,2021-08-01,1
51,AAPL,2021-08-04,9
200,AAPL,2021-08-11,1
105,AAPL,2021-08-27,2
201,AAPL,2021-08-31,1
104,AAPL,2021-09-07,2
66,AAPL,2021-09-10,3
202,AAPL,2021-09-11,1
203,AAPL,2021-09-14,1
204,AAPL,2021-09-19,1
98,AAPL,2021-09-21,2
205,AAPL,2021-10-18,1
206,AAPL,2021-10-19,1
207,AAPL,2021-10-24,1
81,AAPL,2021-10-25,2
78,AAPL,2021-11-20,2
208,AAPL,2021-11-29,1
209,AAPL,2021-11-30,1
210,AAPL,2021-12-01,1
211,AAPL,2021-12-08,1
212,AAPL,2021-12-11,1
213,AAPL,2021-12-18,1
214,AAPL,2021-12-24,1
215,AAPL,2022-01-04,1
196,AAPL,2022-01-10,1
194,AAPL,2022-01-21,1
174,AAPL,2022-01-25,1
193,AAPL,2022-02-04,1
77,AAPL,2022-02-17,2
175,AAPL,2022-03-24,1
176,AAPL,2022-03-30,1
177,AAPL,2022-04-04,1
178,AAPL,2022-04-30,1
179,AAPL,2022-05-11,1
180,AAPL,2022-05-16,1
181,AAPL,2022-05-20,1
182,AAPL,2022-05-22,1
183,AAPL,2022-06-26,1
76,AAPL,2022-06-30,2
75,AAPL,2022-07-17,2
79,AAPL,2022-08-07,2
184,AAPL,2022-08-28,1
185,AAPL,2022-09-05,1
80,AAPL,2022-09-13,2
186,AAPL,2022-09-27,1
187,AAPL,2022-09-28,1
188,AAPL,2022-09-29,1
189,AAPL,2022-09-30,1
190,AAPL,2022-10-04,1
65,AAPL,2022-10-27,3
191,AAPL,2022-11-05,1
192,AAPL,2022-11-12,1
275,AAWW,2020-10-12,5
274,AAWW,2021-09-15,11
276,AB,2020-03-03,1
277,AB,2020-07-19,1
278,AB,2020-09-10,1
279,AB,2021-02-11,1
280,AB,2021-05-27,1
281,AB,2021-11-08,1
282,ABB,2020-12-09,3
283,ABBV,2019-12-18,1
284,ABBV,2020-03-23,1
285,ABBV,2020-07-09,1
289,ABC,2019-12-28,1
290,ABC,2020-03-12,1
291,ABC,2020-04-08,1
292,ABC,2020-10-14,1
293,ABC,2021-01-05,1
286,ABC,2021-01-29,7
287,ABC,2021-02-02,5
294,ABC,2021-02-20,1
295,ABC,2021-03-10,1
296,ABC,2021-03-16,1
297,ABC,2021-04-26,1
298,ABC,2021-06-02,1
299,ABC,2021-06-09,1
300,ABC,2021-07-17,1
301,ABC,2021-09-08,1
302,ABC,2021-09-13,1
303,ABC,2021-10-18,1
288,ABC,2022-08-21,3
306,ABCL,2020-12-07,2
307,ABCL,2021-03-29,1
305,ABCL,2021-12-24,2
304,ABCL,2022-02-03,2
308,ABNB,2020-12-06,6
327,ABNB,2020-12-09,1
309,ABNB,2020-12-10,4
314,ABNB,2020-12-11,1
326,ABNB,2020-12-12,1
315,ABNB,2020-12-13,1
316,ABNB,2020-12-14,1
317,ABNB,2020-12-15,1
318,ABNB,2020-12-16,1
310,ABNB,2021-01-15,3
319,ABNB,2021-01-22,1
320,ABNB,2021-03-13,1
313,ABNB,2021-06-10,2
321,ABNB,2021-08-24,1
312,ABNB,2022-01-23,2
322,ABNB,2022-05-02,1
323,ABNB,2022-05-03,1
324,ABNB,2022-05-09,1
311,ABNB,2022-07-30,2
325,ABNB,2022-10-17,1
328,ABT,2020-03-19,1
329,ABT,2021-01-29,1
330,AC,2019-06-01,1
331,AC,2020-12-31,1
332,AC,2021-01-07,1
333,AC,2021-01-22,1
334,AC,2021-01-29,1
335,AC,2021-07-08,1
337,AC,2021-08-14,1
336,AC,2021-08-24,1
338,AC,2021-09-27,1
339,AC,2022-06-25,1
340,AC,2022-07-09,1
342,ACA,2019-05-10,1
341,ACA,2020-11-30,2
343,ACAC,2020-12-28,1
344,ACAD,2021-03-09,2
357,ACB,2019-02-11,1
358,ACB,2019-03-05,1
359,ACB,2019-04-07,1
360,ACB,2019-08-11,1
361,ACB,2019-12-27,1
348,ACB,2019-12-29,6
356,ACB,2020-01-02,2
362,ACB,2020-02-02,1
349,ACB,2020-02-06,4
363,ACB,2020-02-26,1
364,ACB,2020-04-19,1
355,ACB,2020-05-22,2
354,ACB,2020-06-23,2
365,ACB,2020-11-13,1
366,ACB,2020-11-19,1
345,ACB,2020-11-26,10
353,ACB,2020-11-27,2
352,ACB,2020-12-03,2
367,ACB,2021-01-11,1
368,ACB,2021-02-02,1
369,ACB,2021-02-08,1
347,ACB,2021-02-10,7
370,ACB,2021-04-28,1
350,ACB,2021-04-29,3
346,ACB,2021-05-01,7
351,ACB,2021-06-05,2
371,ACDC,2021-06-03,1
372,ACI,2022-04-10,1
376,ACM,2020-02-19,1
375,ACM,2020-02-20,1
373,ACM,2021-03-31,2
374,ACM,2022-08-05,1
377,ACN,2020-03-19,1
379,ACT,2020-05-12,1
380,ACT,2020-07-18,1
381,ACT,2020-09-20,1
382,ACT,2021-02-01,1
383,ACT,2021-02-02,1
384,ACT,2021-06-03,1
385,ACT,2021-09-22,1
378,ACT,2022-02-07,2
387,ADBE,2019-03-14,1
388,ADBE,2019-09-17,1
389,ADBE,2020-04-24,1
390,ADBE,2020-09-15,1
386,ADBE,2020-11-27,6
391,ADC,2021-06-24,1
396,ADD,2019-11-17,1
392,ADD,2020-04-15,3
397,ADD,2020-12-17,1
398,ADD,2020-12-21,1
399,ADD,2020-12-23,1
400,ADD,2021-01-29,1
401,ADD,2021-02-03,1
393,ADD,2021-02-04,2
402,ADD,2021-02-12,1
395,ADD,2021-02-14,1
394,ADD,2021-02-26,1
403,ADI,2020-02-17,1
408,ADM,2019-07-09,1
405,ADM,2020-07-30,1
404,ADM,2021-01-31,6
406,ADM,2021-04-30,1
407,ADM,2021-05-07,1
409,ADMA,2020-08-14,2
410,ADNT,2019-07-23,2
413,ADP,2019-01-31,1
414,ADP,2020-03-07,1
415,ADP,2020-03-27,1
416,ADP,2020-03-28,1
412,ADP,2020-04-01,2
417,ADP,2020-05-06,1
418,ADP,2020-09-30,1
419,ADP,2021-01-06,1
420,ADP,2021-05-03,1
421,ADP,2021-06-08,1
411,ADP,2021-06-09,3
422,ADSK,2020-02-01,2
424,ADT,2021-04-30,1
423,ADT,2021-05-07,2
425,ADV,2020-08-21,1
426,AE,2021-02-02,1
427,AE,2021-02-10,1
428,AE,2021-05-21,1
429,AEI,2021-08-08,1
430,AEM,2020-07-30,1
431,AER,2021-03-08,1
432,AES,2020-11-14,5
433,AES,2020-11-20,1
434,AFB,2021-01-16,1
435,AFL,2020-03-20,2
440,AFRM,2021-02-12,2
449,AFRM,2021-04-30,1
439,AFRM,2021-05-07,2
441,AFRM,2021-08-27,1
442,AFRM,2021-08-31,1
443,AFRM,2021-09-11,1
444,AFRM,2021-10-25,1
445,AFRM,2021-11-15,1
446,AFRM,2021-12-14,1
438,AFRM,2022-02-04,2
436,AFRM,2022-02-10,12
447,AFRM,2022-05-11,1
448,AFRM,2022-06-07,1
437,AFRM,2022-11-12,11
458,AG,2019-07-04,1
459,AG,2020-07-09,1
460,AG,2020-09-25,1
461,AG,2021-01-13,1
462,AG,2021-01-14,1
463,AG,2021-01-16,1
464,AG,2021-01-25,1
450,AG,2021-01-28,10
452,AG,2021-01-29,4
465,AG,2021-01-30,1
453,AG,2021-02-01,4
466,AG,2021-02-11,1
455,AG,2021-02-14,3
467,AG,2021-04-02,1
468,AG,2021-05-28,1
457,AG,2021-08-24,2
470,AG,2021-09-22,1
456,AG,2021-09-27,2
469,AG,2021-10-13,1
471,AG,2021-10-20,1
451,AG,2022-01-18,5
472,AG,2022-01-19,1
454,AG,2022-02-27,3
473,AG,2022-05-17,1
474,AG,2022-07-08,1
475,AG,2022-08-10,1
476,AGE,2020-01-03,1
477,AGE,2020-10-27,1
478,AGE,2021-01-02,1
480,AGI,2020-03-26,1
481,AGI,2020-07-27,1
482,AGI,2020-12-26,1
483,AGI,2021-01-23,1
479,AGI,2021-01-27,3
484,AGI,2022-04-29,1
485,AGI,2022-05-17,1
487,AGL,2021-01-23,1
486,AGL,2021-06-04,2
489,AGO,2020-04-01,1
490,AGO,2021-01-12,1
491,AGO,2021-01-29,1
492,AGO,2021-01-30,1
488,AGO,2021-02-01,2
493,AHT,2021-01-27,1
494,AIB,2020-10-05,1
503,AIG,2019-08-15,1
502,AIG,2020-03-16,1
499,AIG,2020-04-20,1
495,AIG,2020-05-08,15
501,AIG,2021-02-08,1
498,AIG,2021-03-09,2
497,AIG,2022-04-05,2
500,AIG,2022-07-01,1
496,AIG,2022-07-26,2
504,AIM,2021-01-28,1
505,AIM,2021-02-02,1
506,AIM,2021-08-03,1
507,AIO,2021-07-28,10
508,AIP,2019-12-20,2
509,AIR,2020-12-08,1
510,AIR,2021-01-09,1
511,AIR,2021-02-01,1
512,AIR,2021-02-02,1
513,AIR,2021-04-06,1
514,AIR,2021-07-05,1
515,AIR,2021-10-19,1
516,AIR,2022-03-21,1
568,AKA,2019-01-27,1
569,AKA,2019-05-06,1
570,AKA,2019-08-19,1
571,AKA,2019-11-10,1
572,AKA,2019-11-23,1
573,AKA,2020-01-19,1
574,AKA,2020-02-27,1
567,AKA,2020-03-07,1
566,AKA,2020-03-16,1
521,AKA,2020-03-26,1
565,AKA,2020-04-08,1
545,AKA,2020-04-10,1
546,AKA,2020-04-12,1
547,AKA,2020-04-18,1
548,AKA,2020-04-22,1
549,AKA,2020-05-18,1
550,AKA,2020-06-14,1
551,AKA,2020-08-19,1
552,AKA,2020-11-17,1
553,AKA,2020-12-06,1
554,AKA,2020-12-26,1
555,AKA,2021-01-13,1
556,AKA,2021-01-20,1
517,AKA,2021-01-22,4
557,AKA,2021-01-24,1
520,AKA,2021-01-27,2
558,AKA,2021-01-28,1
559,AKA,2021-01-29,1
560,AKA,2021-01-30,1
561,AKA,2021-01-31,1
519,AKA,2021-02-03,2
562,AKA,2021-02-12,1
563,AKA,2021-02-14,1
518,AKA,2021-02-21,2
544,AKA,2021-02-22,1
543,AKA,2021-03-02,1
522,AKA,2021-03-04,1
542,AKA,2021-03-08,1
523,AKA,2021-03-10,1
524,AKA,2021-03-13,1
525,AKA,2021-03-15,1
526,AKA,2021-04-09,1
527,AKA,2021-04-23,1
528,AKA,2021-05-10,1
529,AKA,2021-06-02,1
530,AKA,2021-06-17,1
531,AKA,2021-08-16,1
532,AKA,2021-08-24,1
533,AKA,2021-08-28,1
534,AKA,2021-08-30,1
535,AKA,2021-09-16,1
536,AKA,2021-11-01,1
537,AKA,2021-11-27,1
538,AKA,2021-12-01,1
539,AKA,2021-12-11,1
540,AKA,2022-01-05,1
541,AKA,2022-03-29,1
564,AKA,2022-10-30,1
575,AKAM,2021-02-10,2
576,AKLI,2022-08-23,1
578,AL,2020-04-01,1
579,AL,2020-04-02,1
580,AL,2020-05-06,1
581,AL,2021-08-14,1
577,AL,2022-04-14,2
582,ALB,2020-03-17,1
583,ALB,2022-07-25,1
584,ALDX,2021-05-24,1
585,ALEX,2020-11-29,1
586,ALEX,2021-07-14,1
590,ALGN,2019-07-31,1
591,ALGN,2020-03-19,1
589,ALGN,2020-12-11,2
592,ALGN,2021-04-30,1
588,ALGN,2021-05-07,2
593,ALGN,2021-07-04,1
587,ALGN,2021-09-19,2
594,ALGN,2021-10-05,1
595,ALGN,2021-10-12,1
596,ALGT,2020-03-21,1
598,ALK,2019-04-28,1
597,ALK,2019-05-06,2
599,ALK,2021-08-16,1
601,ALLY,2020-02-19,2
600,ALLY,2020-02-20,10
602,ALNY,2019-12-17,1
607,ALOT,2021-01-22,1
608,ALOT,2021-01-27,1
606,ALOT,2021-02-02,1
605,ALOT,2021-02-27,1
603,ALOT,2021-08-26,1
604,ALOT,2022-08-04,1
609,ALV,2020-03-19,1
610,AMAT,2020-03-24,1
611,AMAT,2021-05-01,1
886,AMC,2019-12-17,1
887,AMC,2020-03-20,1
888,AMC,2020-04-12,1
758,AMC,2020-04-14,2
712,AMC,2020-04-17,4
889,AMC,2020-04-29,1
890,AMC,2020-06-03,1
891,AMC,2020-08-27,1
759,AMC,2020-10-14,2
892,AMC,2020-10-21,1
764,AMC,2020-11-07,2
893,AMC,2020-11-10,1
769,AMC,2020-11-15,2
713,AMC,2020-11-16,4
894,AMC,2020-12-11,1
895,AMC,2020-12-14,1
768,AMC,2020-12-15,2
896,AMC,2020-12-29,1
897,AMC,2021-01-01,1
898,AMC,2021-01-18,1
899,AMC,2021-01-19,1
900,AMC,2021-01-23,1
679,AMC,2021-01-25,8
615,AMC,2021-01-27,86
618,AMC,2021-01-28,63
613,AMC,2021-01-29,118
616,AMC,2021-01-30,83
624,AMC,2021-01-31,36
612,AMC,2021-02-01,138
614,AMC,2021-02-02,88
617,AMC,2021-02-03,78
626,AMC,2021-02-04,31
662,AMC,2021-02-08,11
663,AMC,2021-02-09,11
722,AMC,2021-02-10,3
664,AMC,2021-02-11,11
659,AMC,2021-02-12,12
638,AMC,2021-02-14,22
636,AMC,2021-02-15,24
901,AMC,2021-02-16,1
885,AMC,2021-02-17,1
714,AMC,2021-02-18,4
642,AMC,2021-02-19,19
667,AMC,2021-02-20,10
767,AMC,2021-02-21,2
671,AMC,2021-02-22,9
660,AMC,2021-02-23,12
644,AMC,2021-02-24,18
651,AMC,2021-02-25,15
641,AMC,2021-02-26,20
698,AMC,2021-02-27,5
627,AMC,2021-03-02,31
665,AMC,2021-03-03,11
639,AMC,2021-03-04,22
643,AMC,2021-03-08,18
645,AMC,2021-03-09,17
620,AMC,2021-03-10,56
631,AMC,2021-03-11,27
681,AMC,2021-03-12,7
721,AMC,2021-03-13,3
633,AMC,2021-03-14,27
