,tickers,Time of Creation,prediction,count
0,AA,2021-06-03,1,1
7,AAL,2020-03-16,1,1
1,AAL,2020-03-19,1,2
2,AAL,2020-06-10,1,1
3,AAL,2020-06-26,1,1
4,AAL,2020-08-10,1,1
5,AAL,2020-12-04,1,1
6,AAL,2021-02-20,1,1
8,AAPL,2019-01-02,1,2
34,AAPL,2019-01-06,1,1
35,AAPL,2019-02-19,1,1
36,AAPL,2019-03-25,1,1
37,AAPL,2019-05-03,1,1
38,AAPL,2019-06-05,1,1
39,AAPL,2019-08-22,1,1
40,AAPL,2019-10-12,1,1
41,AAPL,2019-11-05,1,1
42,AAPL,2019-11-18,1,1
43,AAPL,2020-01-11,1,1
33,AAPL,2020-01-25,1,1
32,AAPL,2020-04-30,1,1
15,AAPL,2020-08-10,1,1
31,AAPL,2020-08-15,1,1
16,AAPL,2020-08-17,1,1
11,AAPL,2020-08-19,1,2
17,AAPL,2020-08-20,1,1
18,AAPL,2020-08-22,1,1
12,AAPL,2020-08-29,1,2
19,AAPL,2020-09-03,1,1
20,AAPL,2020-09-05,1,1
21,AAPL,2020-09-15,1,1
10,AAPL,2020-09-18,1,2
22,AAPL,2020-09-27,1,1
23,AAPL,2020-09-28,1,1
9,AAPL,2020-10-10,1,2
24,AAPL,2020-10-11,1,1
25,AAPL,2020-10-13,1,1
26,AAPL,2020-10-14,1,1
27,AAPL,2020-11-27,1,1
28,AAPL,2020-12-16,1,1
29,AAPL,2020-12-25,1,1
13,AAPL,2021-01-12,1,2
30,AAPL,2021-02-03,1,1
14,AAPL,2021-02-22,1,2
44,AAPL,2021-04-28,1,1
45,AAPL,2021-05-07,1,1
46,AAPL,2021-08-01,1,1
47,AAPL,2021-08-27,1,1
48,AAPL,2021-11-29,1,1
49,AB,2020-03-03,1,1
50,ABB,2020-12-09,1,2
51,ABC,2021-06-02,1,1
52,ABCL,2021-12-24,1,1
54,ABNB,2020-12-06,1,1
55,ABNB,2020-12-09,1,1
53,ABNB,2020-12-13,1,1
56,ABNB,2020-12-14,1,1
57,ABT,2021-01-29,1,1
59,ACB,2019-02-11,1,1
58,ACB,2019-12-29,1,2
60,ACB,2020-02-06,1,1
61,ACB,2020-11-26,1,1
62,ACB,2021-04-29,1,1
63,ACB,2021-05-01,1,1
64,ACM,2022-08-05,1,1
66,ACT,2020-09-20,1,1
65,ACT,2021-06-03,1,1
67,ADBE,2020-11-27,1,1
68,ADM,2019-07-09,1,1
69,ADMA,2020-08-14,1,2
70,AFRM,2021-08-27,1,1
71,AFRM,2022-02-10,1,1
72,AG,2021-01-28,1,2
73,AG,2021-02-01,1,1
74,AG,2021-02-11,1,1
75,AG,2022-01-19,1,1
76,AIR,2021-02-02,1,1
77,AKA,2019-08-19,1,1
78,AKA,2020-04-12,1,1
79,AKA,2021-01-28,1,1
80,AKA,2021-01-29,1,1
81,AKA,2021-03-04,1,1
82,AKA,2021-04-23,1,1
83,AKA,2021-05-10,1,1
84,ALLY,2020-02-20,1,2
204,AMC,2020-03-20,1,1
203,AMC,2020-10-21,1,1
129,AMC,2020-11-16,1,2
202,AMC,2020-12-15,1,1
201,AMC,2021-01-18,1,1
130,AMC,2021-01-25,1,2
87,AMC,2021-01-27,1,21
90,AMC,2021-01-28,1,15
88,AMC,2021-01-29,1,16
107,AMC,2021-01-30,1,4
122,AMC,2021-01-31,1,2
85,AMC,2021-02-01,1,31
89,AMC,2021-02-02,1,15
86,AMC,2021-02-03,1,25
200,AMC,2021-02-08,1,1
153,AMC,2021-02-09,1,1
154,AMC,2021-02-11,1,1
155,AMC,2021-02-15,1,1
156,AMC,2021-02-17,1,1
157,AMC,2021-02-18,1,1
117,AMC,2021-02-19,1,3
158,AMC,2021-02-22,1,1
99,AMC,2021-02-23,1,5
106,AMC,2021-02-24,1,4
98,AMC,2021-02-25,1,6
100,AMC,2021-02-26,1,5
159,AMC,2021-02-27,1,1
160,AMC,2021-03-03,1,1
102,AMC,2021-03-08,1,5
97,AMC,2021-03-09,1,7
93,AMC,2021-03-10,1,8
116,AMC,2021-03-11,1,3
127,AMC,2021-03-12,1,2
161,AMC,2021-03-14,1,1
95,AMC,2021-03-15,1,8
104,AMC,2021-03-16,1,5
162,AMC,2021-03-28,1,1
163,AMC,2021-03-29,1,1
125,AMC,2021-03-30,1,2
164,AMC,2021-04-03,1,1
165,AMC,2021-04-14,1,1
124,AMC,2021-04-15,1,2
166,AMC,2021-04-16,1,1
167,AMC,2021-04-23,1,1
152,AMC,2021-04-28,1,1
